,year,disaster,death_toll,damage_cost,main_article,location,notes
0,1862,Flood,Not Available,0,Great Flood of 1862,"California, Oregon, Utah, and the territories that now make up Arizona and Nevada","An atmospheric river led to 43 days of rain starting at the end of 1861. When it was over, much of California's Central Valley was covered with inland seas that remained for months; the state's government had to move to San Francisco as Sacramento was under 10 feet of water. California nearly went bankrupt due to the costs of the damages and the loss of tax revenues from so many farms and mines; it is considered to be the worst disaster in the state's history."
1,1871,Wildfire,"1,500–2,500",0,Peshtigo fire,Wisconsin,Deadliest firestorm in United States history
2,1888,Blizzard,400,0,Great Blizzard of 1888,Northeast,Fatalities estimated
3,1888,Cold wave,Unknown,0,1888 Northwest Cold Wave,Northwest,Not Available
4,1889,Flood,2209,$17 Million ($425 Million in 2012 dollars),Johnstown Flood,"Johnstown, Pennsylvania","A dam failure caused 20 million tons of water to be unleashed, devastating Johnstown, PA and the surrounding area."
5,1893,Hurricane,"1,000–2,000",0,1893 Sea Islands Hurricane,"Georgia, South Carolina",Fatalities estimated
6,1893,Hurricane,2000,0,1893 Cheniere Caminada Hurricane,Louisiana,Fatalities estimated
7,1894,Wildfire,418,$73 Million,Great Hinckley Fire,Minnesota,Actual death toll likely higher than official death toll of 418.
8,1896,Tornado,255–400,"$2,900,000,000(1997)",St. Louis-East St. Louis tornado,Missouri,Not Available
9,1900,Hurricane,"6,000–12,000",0,Galveston Hurricane of 1900,Texas,Fatalities estimated – remains deadliest natural disaster in North American history.
10,1906,Earthquake and fire (urban conflagration),"3,000–6,000",0,1906 San Francisco earthquake,California,Conflagration followed quake; fatalities estimated
11,1910,Avalanche,96,0,Wellington avalanche,"Wellington, Washington",Not Available
12,1913,Flood,428,0,1913 (Ohio) Statewide Flood,"Southwest, Central, and Eastern Ohio",Not Available
13,1913,Storm,250,"$5,000,000(1913)",Great Lakes Storm of 1913,Great Lakes area,Financial impact for lost vessels and cargo only
14,1913,Flood,361,0,Great Dayton Flood,"Dayton, Ohio","Flood was created by a series of three winter storms that hit the region in March, 1913"
15,1918,Wildfire,453,$73 Million (US$1.145 Billion in 2015),1918 Cloquet fire,Minnesota,Largest disaster in Minnesota history
16,1919,Hurricane,600,0,1919 Florida Keys Hurricane,"Florida, Texas",Not Available
17,1925,Tornado,695–727,"$1,650,000,000(2005)",Tri-State Tornado,"Missouri, Illinois and Indiana (Kentucky, Tennessee)",Lower number for single 3-state tornado; higher for 5-state outbreak
18,1926,Tornado,16,0,La Plata Tornado of 1926,"La Plata, Maryland",13 killed in La Plata Elementary School
19,1927,Flood,246,"$400,000,000",Great Mississippi Flood of 1927,"Arkansas, Illinois, Kentucky, Louisiana, Mississippi, and Tennessee",Not Available
20,1928,Hurricane,3000,"$800,000,000(2005)",1928 Okeechobee Hurricane,"Leeward Islands, Puerto Rico, the Bahamas, and Florida","4,078+ believed dead total. About 2,500 died in Florida and 500 in the U.S. possession of Puerto Rico."
21,1935,Hurricane,423,0,Labor Day Hurricane of 1935,Florida,Not Available
22,1936,Flood,69,"$3,000,000,000(2006)",Pittsburgh Flood 1936,"Pittsburgh, Pennsylvania, area",Not Available
23,1937,Flood,385,"$5,000,000,000",Ohio River flood of 1937,"Ohio, Kentucky, Indiana, Illinois",Not Available
24,1938,Flood,115,0,Los Angeles Flood of 1938,Los Angeles,Not Available
25,1940,Blizzard,154,"$2,200,000",Armistice Day Blizzard,North and Central Midwest,Damage total not adjusted for inflation.
26,1946,Tsunami and Earthquake,165,0,Aleutian Island earthquake,Alaska and Hawaii,Not Available
27,1950,Blizzard,353,"$66,700,000(1950)",Great Appalachian Storm of November 1950,Eastern US States,Not Available
28,1951,Flood,28,"$7,000,000,000(2005)",Great Flood of 1951,Kansas and Missouri,Not Available
29,1953,Tornado,114,0,Not Available,"Waco, TX",Not Available
30,1957,Tornado,10,"$25,883,000",1957 Fargo tornado,"Fargo, ND",Not Available
31,1960,Tsunami,61,"$500,000(2005)",Great Chilean earthquake,"Hawaii, Alaska","2,290 to 6,600 killed and $3,500,000,000 (2005) in damage worldwide. 61 killed in Hilo, Hawaii. $500,000 in U.S. property damage"
32,1964,Tsunami and Earthquake,115,"$1,800,000,000(2006)",Good Friday earthquake,"Alaska, Hawaii, Oregon, California, British Columbia",Not Available
33,1965,Tornado,271,0,Palm Sunday Tornado Outbreak,"Iowa, Ohio, Michigan, Indiana",78 tornadoes
34,1969,Hurricane,256,0,Hurricane Camille,"Mississippi, Alabama and Virginia",Not Available
35,1970,Tornado,26,"$1,411,900,000(2008)",Lubbock Tornado,"Lubbock, Texas",F5 tornado killed 26 and wounded approximately 500
36,1971,Earthquake,65,"$500,000,000",Sylmar earthquake,Greater Los Angeles area,Not Available
37,1972,Flood,238,"$160,000,000(1972)$664,000,000(2002)",1972 Rapid City Flood,"Rapid City, South Dakota","Average rainfall over area of 60 mi² measured at 10-15 inches (380 mm), over 6 hours in middle of night June 9–10, 1972."
38,1974,Tornado,315,0,1974 Super Outbreak,"Ontario, Illinois, Indiana, Michigan, Ohio, Kentucky, Tennessee, Alabama, Mississippi, Georgia, North Carolina, Virginia, West Virginia and New York",148 tornadoes
39,1976,Flood,145,0,Big Thompson Canyon Flood of 1976,Colorado,Not Available
40,1977,Blizzard,23,"$56,250,000(1977)",Great Lakes Blizzard of 1977,"New York and Ontario (esp. Buffalo, New York)",Not Available
41,1980,Volcano,57,"$1,100,000,000",1980 eruption of Mount St. Helens,Washington State,"Damage figure not adjusted for inflation; figure in 2015 dollars is $2,890,000,000."
42,1980,Heat wave,1700,"$20,000,000,000",1980 United States heat wave,Central and southern states,"Official death toll, may have been higher; damage figure not adjusted for inflation."
43,1988,Wildfire,2,"$240,000,000",Yellowstone fires of 1988,"Yellowstone National Park, Wyoming","793,880 acres (36% of the park) was burned in the fires started by lightning."
44,1988,Heat wave/drought,"5,000–10,000","$120,000,000,000(2014)",1988-89 North American drought,Widespread; 45% of the nation affected,Costliest natural disaster in the United States prior to Hurricane Katrina.
45,1989,Hurricane,49,"$7,000,000,000(1989)",Hurricane Hugo,Caribbean and Eastern North America.,"Damage figure for U.S. only. At least 111 total deaths, with 37 in the continental U.S. and 12 in the U.S. possession of Puerto Rico."
46,1989,Earthquake,69,"$6,000,000,000",Loma Prieta earthquake,"San Francisco Bay Area, California",Not Available
47,1990,Tornado,29,"$160,000,000",1990 Plainfield tornado,"Plainfield, Illinois Crest Hill, Illinois",Not Available
48,1991,Wildfire,25,"$1,500,000,000",Oakland Hills fire,"San Francisco Bay Area, California",Not Available
49,1992,Hurricane,26,"$25,000,000,000",Hurricane Andrew,Florida and Louisiana,Not Available
50,1993,Flood,50,"$15,000,000,000",Great Flood of 1993,Midwest,Not Available
51,1993,Blizzard,79–300,"$6,600,000,00",Storm of the Century,East Coast of North and Central America,Not Available
52,1994,Earthquake,57,"$23,000,000,000",Northridge earthquake,Greater Los Angeles area,Not Available
53,1995,Flood,6,"$1,360,000,000","May 8, 1995 Louisiana flood","New Orleans, Louisiana, area",Not Available
54,1995,Heat wave,739,0,Chicago heat wave of 1995,"Chicago, Illinois",Not Available
55,1996,Flood,8,"$500,000,000",Willamette Valley flood of 1996,"Washington, Oregon, Idaho, California",Not Available
56,1997,Flood,0,"$2,000,000,000",1997 Red River flood,"North Dakota, Minnesota, Southern Manitoba",Not Available
57,1998,Blizzard,30,5000000,North American ice storm of 1998,Canada and Northeast,Not Available
58,1999,Tornado,48,"$1,500,000,000(2005)",1999 Oklahoma tornado outbreak,"Oklahoma, Kansas, Texas, Tennessee",74 tornadoes
59,1999,Heat wave,271,0,Not Available,Midwest and Northeast,Not Available
60,2002,Hurricane,41,"$5,500,000,000",Tropical Storm Allison,"Texas, Louisiana, Pennsylvania",Not Available
61,2004,Hurricane,124,"$19,000,000,000(2005)",Hurricane Ivan,"Texas, Florida, East Coast",Not Available
62,2004,Hurricane,49,"$9,000,000,000",Hurricane Frances,Florida,Not Available
63,2004,Hurricane,10,"$15,000,000,000",Hurricane Charley,Florida,Not Available
64,2005,Tornado,25,"$92,000,000",Evansville Tornado of November 2005,"Missouri, [[India ]], Kentucky, Ohio",7 tornadoes
65,2005,Hurricane,120,"$10,000,000,000(2005)",Hurricane Rita,"Louisiana, Texas",Not Available
66,2005,Hurricane,1836,"$125,000,000,000",Hurricane Katrina,"Florida, Louisiana, Mississippi, Alabama",Not Available
67,2006,Snow storm,19,"$530,000,000(2006)","Lake Storm ""Aphid""","Buffalo, New York",Not Available
